stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
5101D-CAMINLIND5,,CAMINO A LA BRECHA - LINDAVISTA,,19.55550357,-99.12588358,,,0,,0
5101D-CAMINNARA5,,CAMINO A LA BRECHA - NARANJOS ,,19.54457432,-99.12380219,,,0,,0
5101D-_CAMIN_PLA_A0,,CAMINO A LA BRECHA - PLAN DE AYALA ,,19.54862864,-99.12500381,,,0,,0
5101D-_CAMIN_PLA_S0,,CAMINO A LA BRECHA - PLAN DE SAN LUIS ,,19.54919482,-99.124403,,,0,,0
5101D-CAMINPOCI8,,CAMINO A LA BRECHA - POCITOS ,,19.54381601,-99.12445664,,,0,,0
5101D-CAMINSAN_7,,CAMINO A LA BRECHA - SAN JUAN ,,19.55159096,-99.12879109,,,0,,0
5161F-_CAMIN_12__D2,,CAMINO A LAS MINAS - 12 DE DICIEMBRE,,19.3338121,-99.02933478,,,0,,0
5161F-_CAMIN_12__O5,,CAMINO A LAS MINAS - 12 DE OCTUBRE,,19.33276934,-99.02892709,,,0,,0
5161F-_CAMIN_1RO_E6,,CAMINO A LAS MINAS - 1RO. DE ENERO,,19.33301231,-99.02920604,,,0,,0
5161F-CAMIN_LAS4,,CAMINO A LAS MINAS -  LAS TORRES,,19.33492571,-99.03072953,,,0,,0
5161C-CAMINAZAH2,,CAMINO A LAS MINAS - AZAHARES,,19.33474348,-99.01824117,,,0,,0
5161C-CAMINAZAH1,,CAMINO A LAS MINAS - AZAHARES_1,,19.33476373,-99.01811242,,,0,,0
5161C-CAMINBENI9,,CAMINO A LAS MINAS - BENITO JUÁREZ,,19.33683908,-99.01892781,,,0,,0
5161C-CAMINBENI3,,CAMINO A LAS MINAS - BENITO JUÁREZ_1,,19.3367176,-99.01878834,,,0,,0
5161F-CAMINBUEN0,,CAMINO A LAS MINAS - BUENAVISTA,,19.33121026,-99.02716756,,,0,,0
5161C-CAMINCHAB8,,CAMINO A LAS MINAS - CHABACANO,,19.33832724,-99.01927114,,,0,,0
5161C-CAMINCHAB5,,CAMINO A LAS MINAS - CHABACANO_1,,19.33814502,-99.01909947,,,0,,0
5161C-CAMINCOLO3,,CAMINO A LAS MINAS - COLONIA PALMAS CALLE LAS MARGARITAS,,19.33354888,-99.01790857,,,0,,0
5161C-CAMINEJE_6,,CAMINO A LAS MINAS - EJE 8 SUR CALZADA ERMITA - IZTAPALAPA,,19.34506936,-99.02086973,,,0,,0
5161F-CAMINGLAD3,,CAMINO A LAS MINAS - GLADIOLAS,,19.33079518,-99.02622342,,,0,,0
5161C-CAMINGRAN5,,CAMINO A LAS MINAS - GRANADA,,19.3361203,-99.01852012,,,0,,0
5161C-CAMINGUAN7,,CAMINO A LAS MINAS - GUANÁBANA,,19.34033169,-99.019593,,,0,,0
5161C-CAMINGUAN6,,CAMINO A LAS MINAS - GUANÁBANA_1,,19.34014947,-99.01946425,,,0,,0
5161F-_CAMIN_PIR_L2,,CAMINO A LAS MINAS - PIRÁMIDE DE LA LUNA,,19.33179745,-99.02797222,,,0,,0
5161F-CAMINPIRÁ5,,CAMINO A LAS MINAS - PIRÁMIDE DEL SOL,,19.3322429,-99.02877688,,,0,,0
5161F-CAMINPIRÁ4,,CAMINO A LAS MINAS - PIRÁMIDE DEL SOL_1,,19.33212141,-99.02854085,,,0,,0
5161F-CAMINPRIV2,,CAMINO A LAS MINAS - PRIVADA BUENAVISTA,,19.33112927,-99.02696371,,,0,,0
5161C-CAMINSANT5,,CAMINO A LAS MINAS - SANTA CRUZ,,19.33405507,-99.01802659,,,0,,0
5161C-CAMINSANT1,,CAMINO A LAS MINAS - SANTA CRUZ_1,,19.33403482,-99.01790857,,,0,,0
5161C-CAMINTEJO4,,CAMINO A LAS MINAS - TEJOCOTE,,19.34184007,-99.02001143,,,0,,0
5161C-CAMINTEJO3,,CAMINO A LAS MINAS - TEJOCOTE_1,,19.34165785,-99.01972175,,,0,,0
5161C-CAMINVIOL8,,CAMINO A LAS MINAS - VIOLETA,,19.33552301,-99.0184772,,,0,,0
5161F-CAMINZAPO1,,CAMINO A LAS MINAS - ZAPOTE,,19.33459163,-99.03042912,,,0,,0
5161F-CAMINZAPO3,,CAMINO A LAS MINAS - ZAPOTE_1,,19.3345815,-99.02991414,,,0,,0
50119-_CAMIN_2DA_M4,,CAMINO A MINAS - 2DA. CERRADA DE MINA,,19.38205495,-99.20307755,,,0,,0
5039A-_CAMIN_5_D_M1,,CAMINO A NATIVITAS - 5 DE MAYO,Frente al Centro de Salud de Xochimilco,19.2548781,-99.10413623,,,0,,0
5039A-CAMINCICL1,,CAMINO A NATIVITAS - CICLAMEN,,19.250624,-99.09633636,,,0,,0
5039A-CAMINLIRI6,,CAMINO A NATIVITAS - LIRIO ACUÁTICO,,19.25247758,-99.10109997,,,0,,0
5039A-CAMINMADR2,,CAMINO A NATIVITAS- MADRE SELVA,En la esquina de la Calle,19.25132289,-99.09934044,,,0,,0
5039A-CAMINMERC1,,CAMINO A NATIVITAS- MERCADO,Frente a la Salida de las Unidades del la rtp a Alameda Oriente,19.25011755,-99.09458756,,,0,,0
50145-CAMINAYUN5,,CAMINO A PARRES - AYUNTAMIENT,,19.20192698,-99.12246108,,,0,,0
50145-CAMINPROG9,,CAMINO A PARRES - PROGRESO,,19.1994041,-99.12192464,,,0,,0
5124A-CAMINCENT0,,CAMINO A PUERTO CEGUAYO - CENTENARIO,,19.35599182,-99.24040318,,,0,,0
50143-CAMINCARR9,,CAMINO A SAN PEDRO ACTOPAN - CARRETERA A OAXTEPEC ,,19.20345689,-99.04038548,,,0,,0
5017F-CAMIN2DA.4,,CAMINO A SAN PEDRO MÁRTIR - 2DA. PUERTA FOVISSSTE ,,19.27499241,-99.16314483,,,0,,0
5017F-CAMINCEDR3,,CAMINO A SAN PEDRO MÁRTIR - CEDRAL ,,19.27160982,-99.15957212,,,0,,0
5017F-CAMINMELC2,,CAMINO A SAN PEDRO MÁRTIR - MELCHOR OCAMPO ,,19.27549878,-99.16461468,,,0,,0
